601989
601857,10,香港中央结算有限公司,23937.90,0.13%,+413.34,流通A股
601857,17818317.05,97.36%,-0.13%,
601818
601818,1,中国光大集团股份公司,1334890.53,25.43%,不变,"流通A股,境外可流通股"
601818,2,香港中央结算(代理人)有限公司,1106327.04,21.08%,不变,境外可流通股
601818,3,中央汇金投资有限责任公司,1025091.61,19.53%,+2.90,流通A股
601818,4,中国光大控股有限公司,157273.59,3.00%,不变,流通A股
601818,5,中国证券金融股份有限公司,155021.57,2.95%,不变,流通A股
601818,6,香港中央结算有限公司,84072.52,1.60%,+18982.02,流通A股
601818,7,中国再保险(集团)股份有限公司,78948.76,1.50%,不变,"流通A股,境外可流通股"
601818,8,申能(集团)有限公司,76600.24,1.46%,不变,流通A股
601818,9,上海中远海运企业发展有限公司,72399.99,1.38%,不变,流通A股
601818,10,中央汇金资产管理有限责任公司,62969.33,1.20%,不变,流通A股
601818,4153595.17,79.13%,11.43%,
601800
601800,1,中国交通建设集团有限公司,741520.55,45.84%,-81410.00,流通A股
601800,2,HKSCCNOMINEESLIMITED,438565.88,27.11%,+22.50,境外可流通股
601800,3,中国交通建设集团有限公司-非公开发行2017年可交换公司债券质押专户,203223.47,12.56%,新进,流通A股
601800,4,中国证券金融股份有限公司,48384.61,2.99%,不变,流通A股
601800,5,国新投资有限公司,20694.33,1.28%,-4884.85,流通A股
601800,6,北京诚通金控投资有限公司,16080.79,0.99%,-0.00,流通A股
601800,7,招商银行股份有限公司-博时中证央企创新驱动交易型开放式指数证券投资基金,12991.20,0.80%,新进,流通A股
601800,8,中央汇金资产管理有限责任公司,9807.58,0.61%,不变,流通A股
601800,9,中国银行股份有限公司-嘉实中证央企创新驱动交易型开放式指数证券投资基金,8278.27,0.51%,新进,流通A股
601800,10,中国工商银行股份有限公司-广发中证央企创新驱动交易型开放式指数证券投资基金,8137.65,0.50%,新进,流通A股
601800,1507684.34,93.21%,-0.47%,
601788
601788,1,中国光大集团股份公司,115945.62,25.15%,不变,流通A股
601788,2,中国光大控股有限公司,98225.00,21.30%,不变,流通A股
601788,3,香港中央结算(代理人)有限公司,70363.91,15.26%,+0.14,境外可流通股
601788,4,平安大华基金-平安银行-平安银行股份有限公司,14751.84,3.20%,新进,流通A股
601788,5,中国证券金融股份有限公司,13786.35,2.99%,不变,流通A股
601788,6,中国长城资产管理股份有限公司,5497.86,1.19%,不变,流通A股
601788,7,香港中央结算有限公司,4342.50,0.94%,+1370.70,流通A股
601788,8,中央汇金资产管理有限责任公司,3756.89,0.82%,不变,流通A股
601788,9,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,2443.20,0.53%,新进,流通A股
601788,10,易方达基金-农业银行-易方达中证金融资产管理计划,2317.46,0.50%,新进,流通A股
601788,331430.63,71.88%,0.30%,
601766
601766,1,中国中车集团有限公司,1372446.51,47.82%,不变,流通A股
601766,2,HKSCC NOMINEES LIMITED,436010.38,15.19%,新进,境外可流通股
601766,3,中国证券金融股份有限公司,85895.83,2.99%,不变,流通A股
601766,4,国新投资有限公司,36229.33,1.26%,-206.21,流通A股
601766,5,中央汇金资产管理有限责任公司,30450.21,1.06%,不变,流通A股
601766,6,香港中央结算有限公司,25746.19,0.90%,新进,流通A股
601766,7,中欧基金-农业银行-中欧中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,8,华夏基金-农业银行-华夏中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,9,大成基金-农业银行-大成中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,10,广发基金-农业银行-广发中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,11,银华基金-农业银行-银华中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,12,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,13,易方达基金-农业银行-易方达中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,14,南方基金-农业银行-南方中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,15,博时基金-农业银行-博时中证金融资产管理计划,23498.29,0.82%,新进,流通A股
601766,16,嘉实基金-农业银行-嘉实中证金融资产管理计划,23498.29,0.82%,不变,流通A股
601766,2221761.35,77.42%,-0.26%,
